sa4_code,sa4_name,state_code,state_name,anzsic_division,anzsic_name,employed_persons
111,Newcastle and Lake Macquarie,1,New South Wales,S,Other Services,6995
111,Newcastle and Lake Macquarie,1,New South Wales,_T,Total,186341
112,Richmond - Tweed,1,New South Wales,A,"Agriculture, Forestry and Fishing",4932
112,Richmond - Tweed,1,New South Wales,B,Mining,620
112,Richmond - Tweed,1,New South Wales,C,Manufacturing,5612
112,Richmond - Tweed,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",987
112,Richmond - Tweed,1,New South Wales,E,Construction,10955
112,Richmond - Tweed,1,New South Wales,F,Wholesale Trade,1952
112,Richmond - Tweed,1,New South Wales,G,Retail Trade,11446
112,Richmond - Tweed,1,New South Wales,H,Accommodation and Food Services,9932
112,Richmond - Tweed,1,New South Wales,I,"Transport, Postal and Warehousing",3320
112,Richmond - Tweed,1,New South Wales,J,Information Media and Telecommunications,1062
112,Richmond - Tweed,1,New South Wales,K,Financial and Insurance Services,1770
112,Richmond - Tweed,1,New South Wales,L,"Rental, Hiring and Real Estate Services",1701
112,Richmond - Tweed,1,New South Wales,M,"Professional, Scientific and Technical Services",6202
112,Richmond - Tweed,1,New South Wales,N,Administrative and Support Services,3806
112,Richmond - Tweed,1,New South Wales,O,Public Administration and Safety,5057
112,Richmond - Tweed,1,New South Wales,P,Education and Training,10798
112,Richmond - Tweed,1,New South Wales,Q,Health Care and Social Assistance,19592
112,Richmond - Tweed,1,New South Wales,R,Arts and Recreation Services,1804
112,Richmond - Tweed,1,New South Wales,S,Other Services,4167
112,Richmond - Tweed,1,New South Wales,_T,Total,110874
113,Riverina,1,New South Wales,A,"Agriculture, Forestry and Fishing",8647
113,Riverina,1,New South Wales,B,Mining,298
113,Riverina,1,New South Wales,C,Manufacturing,7396
113,Riverina,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",1121
113,Riverina,1,New South Wales,E,Construction,5807
113,Riverina,1,New South Wales,F,Wholesale Trade,1802
113,Riverina,1,New South Wales,G,Retail Trade,6869
113,Riverina,1,New South Wales,H,Accommodation and Food Services,4630
113,Riverina,1,New South Wales,I,"Transport, Postal and Warehousing",3059
113,Riverina,1,New South Wales,J,Information Media and Telecommunications,421
113,Riverina,1,New South Wales,K,Financial and Insurance Services,948
113,Riverina,1,New South Wales,L,"Rental, Hiring and Real Estate Services",635
